METID	REPLACEMENTID
(13Z)-docosenoyl-CoA[m]	m00016m
(13Z)-docosenoyl-CoA[p]	m00016p
(13Z)-docosenoyl-CoA[r]	m00016r
(13Z)-eicosenoic acid[c]	m00017c
(13Z)-eicosenoic acid[l]	m00017l
(13Z)-eicosenoic acid[r]	m00017r
(13Z)-eicosenoic acid[s]	m00017s
(13Z)-eicosenoyl-CoA[c]	m00018c
(13Z)-eicosenoyl-CoA[m]	m00018m
(13Z)-eicosenoyl-CoA[p]	m00018p
(13Z)-eicosenoyl-CoA[r]	m00018r
(13Z)-octadecenoic acid[c]	m00019c
(13Z)-octadecenoic acid[l]	m00019l
(13Z)-octadecenoic acid[r]	m00019r
(13Z)-octadecenoic acid[s]	m00019s
(13Z)-octadecenoyl-CoA[c]	m00020c
(13Z)-octadecenoyl-CoA[m]	m00020m
(13Z)-octadecenoyl-CoA[r]	m00020r
(13Z,16Z)-docosadienoic acid[c]	m00021c
(13Z,16Z)-docosadienoic acid[l]	m00021l
(13Z,16Z)-docosadienoic acid[r]	m00021r
(13Z,16Z)-docosadienoic acid[s]	m00021s
(13Z,16Z)-docosadienoylcarnitine[c]	m00022c
(13Z,16Z)-docosadienoylcarnitine[m]	m00022m
(13Z,16Z)-docosadienoylcarnitine[r]	m00022r
(13Z,16Z)-docosadienoyl-CoA[c]	m00023c
(13Z,16Z)-docosadienoyl-CoA[m]	m00023m
(13Z,16Z)-docosadienoyl-CoA[r]	m00023r
(15Z)-tetracosenoylcarnitine[c]	m00024c
(15Z)-tetracosenoylcarnitine[r]	m00024r
(15Z)-tetracosenoyl-CoA[c]	m00025c
(15Z)-tetracosenoyl-CoA[p]	m00025p
(15Z)-tetracosenoyl-CoA[r]	m00025r
(18E)-20-oxo-20-CoA-LTB4[m]	m00026m
(18E)-20-oxo-20-CoA-LTB4[p]	m00026p
(18E)-20-oxo-20-CoA-LTE4[p]	m00027p
(18R)-HEPE[c]	m00028c
(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c]	m00029c
(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol[c]	m00030c
(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene[c]	m00031c
(1R,2S)-naphthalene 1,2-oxide[c]	m00032c
(1R,2S)-naphthalene 1,2-oxide[s]	m00032s
(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene[c]	m00033c
(1S,2R)-naphthalene 1,2-oxide[c]	m00034c
(24R)-24,25-dihydroxycalciol[c]	m00035c
(24R)-24,25-dihydroxycalciol[m]	m00035m
(24R)-24,25-dihydroxycalciol[s]	m00035s
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[m]	m00036m
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[p]	m00036p
(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA[p]	m00037p
(2E)-decenoyl-[ACP][c]	m00038c
(2E)-decenoyl-CoA[m]	m00039m
(2E)-decenoyl-CoA[p]	m00039p
(2E)-docosenoyl-CoA[c]	m00040c
(2E)-docosenoyl-CoA[m]	m00040m
(2E)-docosenoyl-CoA[p]	m00040p
(2E)-dodecenoyl-[ACP][c]	m00041c
(2E)-dodecenoyl-CoA[m]	m00042m
(2E)-dodecenoyl-CoA[p]	m00042p
(2E)-eicosenoyl-CoA[c]	m00043c
(2E)-eicosenoyl-CoA[m]	m00043m
(2E)-eicosenoyl-CoA[p]	m00043p
(2E)-heneicosenoyl-CoA[c]	m00044c
(2E)-heneicosenoyl-CoA[m]	m00044m
(2E)-heptadecenoyl-[ACP][c]	m00045c
(2E)-heptadecenoyl-CoA[m]	m00046m
(2E)-heptenoyl-[ACP][c]	m00047c
(2E)-heptenoyl-CoA[m]	m00048m
(2E)-hexacosenoyl-CoA[c]	m00049c
(2E)-hexacosenoyl-CoA[p]	m00049p
(2E)-hexadecenoyl-[ACP][c]	m00050c
(2E)-hexadecenoyl-CoA[m]	m00051m
(2E)-hexadecenoyl-CoA[p]	m00051p
(2E)-hexenoyl-[ACP][c]	m00052c
(2E)-hexenoyl-CoA[m]	m00053m
(2E)-hexenoyl-CoA[p]	m00053p
(2E)-nonadecenoyl-CoA[c]	m00054c
(2E)-nonadecenoyl-CoA[m]	m00054m
(2E)-nonenoyl-[ACP][c]	m00055c
(2E)-nonenoyl-CoA[m]	m00056m
(2E)-octadecenoyl-CoA[c]	m00057c
(2E)-octadecenoyl-CoA[m]	m00057m
(2E)-octadecenoyl-CoA[p]	m00057p
(2E)-octenoyl-[ACP][c]	m00058c
(2E)-octenoyl-CoA[m]	m00059m
(2E)-octenoyl-CoA[p]	m00059p
(2E)-pentadecenoyl-[ACP][c]	m00060c
(2E)-pentadecenoyl-CoA[m]	m00061m
(2E)-pentenoyl-[ACP][c]	m00062c
(2E)-pentenoyl-CoA[m]	m00063m
(2E)-tetracosenoyl-CoA[c]	m00064c
(2E)-tetracosenoyl-CoA[p]	m00064p
(2E)-tetradecenoyl-[ACP][c]	m00065c
(2E)-tetradecenoyl-CoA[m]	m00066m
(2E)-tetradecenoyl-CoA[p]	m00066p
(2E)-tricosenoyl-CoA[c]	m00067c
(2E)-tridecenoyl-[ACP][c]	m00068c
(2E)-tridecenoyl-CoA[m]	m00069m
(2E)-undecenoyl-[ACP][c]	m00070c
(2E)-undecenoyl-CoA[m]	m00071m
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[m]	m00072m
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[p]	m00072p
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[m]	m00073m
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[p]	m00073p
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]	m00074c
(2R)-pristanoyl-CoA[p]	m00075p
(2R,6R,10R)-trimethyl-hendecanoyl-CoA[p]	m00076p
(2R,6S,10S)-pristanate[p]	m00077p
(2S)-pristanoyl-CoA[p]	m00078p
(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA[p]	m00079p
(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p]	m00080p
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m]	m00081m
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[p]	m00081p
(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m]	m00082m
(3S)-3-hydroxydodec-cis-6-enoyl-CoA[p]	m00082p
(3S)-3-hydroxylinoleoyl-CoA[m]	m00083m
(3S)-3-hydroxylinoleoyl-CoA[p]	m00083p
(3S)-citramalyl-CoA[m]	m00084m
(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA[c]	m00085c
(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA[c]	m00086c
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA[c]	m00087c
(3Z)-dodecenoyl-CoA[m]	m00088m
(3Z)-dodecenoyl-CoA[p]	m00088p
(3Z,7Z,10Z)-hexadecatrienoyl-CoA[m]	m00089m
(3Z,7Z,10Z)-hexadecatrienoyl-CoA[p]	m00089p
(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA[p]	m00090p
(4Z,7Z,10Z)-hexadecatrienoyl-CoA[m]	m00091m
(4Z,7Z,10Z)-hexadecatrienoyl-CoA[p]	m00091p
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[c]	m00092c
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m]	m00092m
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[r]	m00092r
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]	m00093c
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[m]	m00093m
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[p]	m00093p
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[r]	m00093r
(4Z,7Z,10Z,13Z,16Z)-DPA[c]	m00094c
(4Z,7Z,10Z,13Z,16Z)-DPA[l]	m00094l
(4Z,7Z,10Z,13Z,16Z)-DPA[r]	m00094r
(4Z,7Z,10Z,13Z,16Z)-DPA[s]	m00094s
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c]	m00095c
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[m]	m00095m
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]	m00095p
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r]	m00095r
(5)ppPur-mRNA[c]	m00096c
(5-L-glutamyl)-L-amino acid[s]	m00097s
(5S,6S)-epoxy-(15R)-hydroxy-ETE[c]	m00098c
(5S,6S)-epoxy-(15R)-hydroxy-ETE[p]	m00098p
(5S,6S)-epoxy-(15R)-hydroxy-ETE[r]	m00098r
(5Z)-dodecenoyl-CoA[m]	m00099m
(5Z)-dodecenoyl-CoA[p]	m00099p
(5Z,8Z,11Z)-eicosatrienoylcarnitine[c]	m00100c
(5Z,8Z,11Z)-eicosatrienoylcarnitine[m]	m00100m
(5Z,8Z,11Z)-eicosatrienoylcarnitine[r]	m00100r
(5Z,8Z,11Z)-eicosatrienoyl-CoA[c]	m00101c
(5Z,8Z,11Z)-eicosatrienoyl-CoA[m]	m00101m
(5Z,8Z,11Z)-eicosatrienoyl-CoA[r]	m00101r
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c]	m00102c
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[m]	m00102m
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[r]	m00102r
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c]	m00103c
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[m]	m00103m
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[r]	m00103r
(6Z,9Z)-octadecadienoic acid[c]	m00104c
(6Z,9Z)-octadecadienoic acid[l]	m00104l
(6Z,9Z)-octadecadienoic acid[r]	m00104r
(6Z,9Z)-octadecadienoic acid[s]	m00104s
(6Z,9Z)-octadecadienoylcarnitine[c]	m00105c
(6Z,9Z)-octadecadienoylcarnitine[m]	m00105m
(6Z,9Z)-octadecadienoylcarnitine[r]	m00105r
(6Z,9Z)-octadecadienoyl-CoA[c]	m00106c
(6Z,9Z)-octadecadienoyl-CoA[m]	m00106m
(6Z,9Z)-octadecadienoyl-CoA[r]	m00106r
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[c]	m00107c
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[m]	m00107m
(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine[r]	m00107r
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c]	m00108c
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[m]	m00108m
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r]	m00108r
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine[c]	m00109c
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine[r]	m00109r
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c]	m00110c
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[p]	m00110p
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[r]	m00110r
(6Z,9Z,12Z,15Z,18Z)-TPA[c]	m00111c
(6Z,9Z,12Z,15Z,18Z)-TPA[l]	m00111l
(6Z,9Z,12Z,15Z,18Z)-TPA[r]	m00111r
(6Z,9Z,12Z,15Z,18Z)-TPA[s]	m00111s
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine[c]	m00112c
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine[r]	m00112r
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c]	m00113c
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[p]	m00113p
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[r]	m00113r
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[c]	m00114c
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[l]	m00114l
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[r]	m00114r
(6Z,9Z,12Z,15Z,18Z,21Z)-THA[s]	m00114s
(7Z)-octadecenoic acid[c]	m00115c
(7Z)-octadecenoic acid[l]	m00115l
(7Z)-octadecenoic acid[r]	m00115r
(7Z)-octadecenoic acid[s]	m00115s
(7Z)-octadecenoyl-CoA[c]	m00116c
(7Z)-octadecenoyl-CoA[m]	m00116m
(7Z)-octadecenoyl-CoA[r]	m00116r
(7Z)-tetradecenoic acid[c]	m00117c
(7Z)-tetradecenoic acid[l]	m00117l
(7Z)-tetradecenoic acid[r]	m00117r
(7Z)-tetradecenoic acid[s]	m00117s
(7Z)-tetradecenoyl-CoA[c]	m00118c
(7Z)-tetradecenoyl-CoA[m]	m00118m
(7Z)-tetradecenoyl-CoA[p]	m00118p
(7Z)-tetradecenoyl-CoA[r]	m00118r
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c]	m00119c
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[m]	m00119m
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[r]	m00119r
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[c]	m00120c
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[m]	m00120m
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine[r]	m00120r
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c]	m00121c
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[m]	m00121m
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[r]	m00121r
(8Z,11Z)-eicosadienoylcarnitine[c]	m00122c
(8Z,11Z)-eicosadienoylcarnitine[m]	m00122m
(8Z,11Z)-eicosadienoylcarnitine[r]	m00122r
(8Z,11Z)-eicosadienoyl-CoA[c]	m00123c
(8Z,11Z)-eicosadienoyl-CoA[m]	m00123m
(8Z,11Z)-eicosadienoyl-CoA[r]	m00123r
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[c]	m00124c
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[m]	m00124m
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[r]	m00124r
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c]	m00125c
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[m]	m00125m
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[r]	m00125r
(9E)-octadecenoylcarnitine[c]	m00126c
(9E)-octadecenoylcarnitine[m]	m00126m
(9E)-octadecenoylcarnitine[r]	m00126r
(9E)-octadecenoyl-CoA[c]	m00127c
(9E)-octadecenoyl-CoA[m]	m00127m
(9E)-octadecenoyl-CoA[r]	m00127r
(9E)-tetradecenoic acid[c]	m00128c
(9E)-tetradecenoic acid[l]	m00128l
(9E)-tetradecenoic acid[r]	m00128r
(9E)-tetradecenoic acid[s]	m00128s
(9E)-tetradecenoyl-CoA[c]	m00129c
(9E)-tetradecenoyl-CoA[m]	m00129m
(9E)-tetradecenoyl-CoA[r]	m00129r
(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine[c]	m00130c
(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine[r]	m00130r
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c]	m00131c
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[p]	m00131p
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[r]	m00131r
(9Z,12Z,15Z,18Z)-TTA[c]	m00132c
(9Z,12Z,15Z,18Z)-TTA[l]	m00132l
(9Z,12Z,15Z,18Z)-TTA[r]	m00132r
(9Z,12Z,15Z,18Z)-TTA[s]	m00132s
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine[c]	m00133c
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine[r]	m00133r
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c]	m00134c
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[p]	m00134p
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[r]	m00134r
(9Z,12Z,15Z,18Z,21Z)-TPA[c]	m00135c
(9Z,12Z,15Z,18Z,21Z)-TPA[l]	m00135l
(9Z,12Z,15Z,18Z,21Z)-TPA[r]	m00135r
(9Z,12Z,15Z,18Z,21Z)-TPA[s]	m00135s
(ADP-D-ribosyl)n+1-acceptor[c]	m00136c
(ADP-D-ribosyl)n-acceptor[c]	m00137c
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	m00138g
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	m00138r
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	m00139g
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	m00139r
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	m00140g
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	m00140r
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine[l]	m00141l
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	m00142g
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)[g]	m00143g
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)[g]	m00144g
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)[g]	m00145g
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)[g]	m00146g
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)[g]	m00147g
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)[g]	m00148g
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)[g]	m00149g
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)[g]	m00150g
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)[g]	m00151g
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)[r]	m00151r
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)[g]	m00152g
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	m00153g
(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	m00153r
(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r]	m00154r
(indol-3-yl)acetamide[c]	m00155c
(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c]	m00156c
(R)-3-hydroxybutanoate[c]	m00157c
(R)-3-hydroxybutanoate[m]	m00157m
(R)-3-hydroxybutanoate[s]	m00157s
(R)-3-hydroxybutanoyl-[ACP][c]	m00158c
(R)-3-hydroxybutanoyl-CoA[m]	m00159m
(R)-3-hydroxydecanoyl-[ACP][c]	m00160c
(R)-3-hydroxyoctanoyl-[ACP][c]	m00161c
(R)-3-hydroxypalmitoyl-[ACP][c]	m00162c
(R)-4-phosphopantothenoyl-cysteine[c]	m00163c
(R)-4-phosphopantothenoyl-cysteine[m]	m00163m
(R)-5-diphosphomevalonate[c]	m00164c
(R)-5-phosphomevalonate[c]	m00165c
(R)-methylmalonyl-CoA[m]	m00166m
(R)-mevalonate[c]	m00167c
(R)-mevalonate[p]	m00167p
(R)-S-lactoylglutathione[c]	m00168c
(R)-S-lactoylglutathione[m]	m00168m
(S)-2-aminobutanoate[c]	m00169c
(S)-3-hydroxy-11-cis-octadecenoyl-CoA[m]	m00170m
(S)-3-hydroxy-11-cis-octadecenoyl-CoA[p]	m00170p
(S)-3-hydroxy-2-methylbutyryl-CoA[m]	m00171m
(S)-3-hydroxy-7-hexadecenoyl-CoA[m]	m00172m
(S)-3-hydroxy-7-hexadecenoyl-CoA[p]	m00172p
(S)-3-hydroxybutyryl-CoA[m]	m00173m
(S)-3-hydroxybutyryl-CoA[p]	m00173p
(S)-3-hydroxydodecanoyl-CoA[m]	m00174m
(S)-3-hydroxydodecanoyl-CoA[p]	m00174p
(S)-3-hydroxyhexadecanoyl-CoA[m]	m00175m
(S)-3-hydroxyhexadecanoyl-CoA[p]	m00175p
(S)-3-hydroxyoleyleoyl-CoA[m]	m00176m
(S)-3-hydroxyoleyleoyl-CoA[p]	m00176p
(S)-3-hydroxypalmitoleoyl-CoA[m]	m00177m
(S)-3-hydroxypalmitoleoyl-CoA[p]	m00177p
(S)-3-hydroxytetradecanoyl-CoA[m]	m00178m
(S)-3-hydroxytetradecanoyl-CoA[p]	m00178p
(S)-3-sulfolactate[c]	m00179c
(S)-3-sulfolactate[m]	m00179m
(S)-3-sulfolactate[s]	m00179s
(S)-dihydroorotate[c]	m00180c
(S)-hydroxydecanoyl-CoA[m]	m00181m
(S)-hydroxydecanoyl-CoA[p]	m00181p
(S)-hydroxyhexanoyl-CoA[m]	m00182m
(S)-hydroxyhexanoyl-CoA[p]	m00182p
(S)-hydroxyoctanoyl-CoA[m]	m00183m
(S)-hydroxyoctanoyl-CoA[p]	m00183p
[ACP][c]	m00184c
[apocarboxlase][c]	m00185c
[apotransferin][c]	m00186c
[apotransferin][l]	m00186l
[apotransferin][s]	m00186s
[beta-adrenergic-receptor][c]	m00187c
[methionine synthase]-cob(II)alamin[c]	m00188c
[methionine synthase]-methylcob(I)alamin[c]	m00189c
[myosin light chain][c]	m00190c
[myosin light chain]-phosphate[c]	m00191c
[phosphorylase A][c]	m00192c
[phosphorylase B][c]	m00193c
[protein C terminal]-S-farnesyl-L-cysteine[c]	m00194c
[protein C terminal]-S-farnesyl-L-cysteine-methyl ester[c]	m00195c
[protein][c]	m00196c
[protein]-L-arginine[c]	m00197c
[protein]-L-asparagine[c]	m00198c
[protein]-L-asparagine[l]	m00198l
[protein]-L-asparagine[r]	m00198r
[protein]-L-citrulline[c]	m00199c
[protein]-L-cysteine[c]	m00200c
[protein]-L-glutamine[c]	m00201c
[protein]-L-isoaspartate[c]	m00202c
[protein]-L-isoaspartate-methyl ester[c]	m00203c
[protein]-L-lysine[c]	m00204c
[protein]-L-lysine[n]	m00204n
[protein]-L-lysine[s]	m00204s
[protein]-L-serine[c]	m00205c
[protein]-L-serine[g]	m00205g
[protein]-L-serine[l]	m00205l
[protein]-L-serine[r]	m00205r
[protein]-L-tyrosine[c]	m00206c
[protein]-N5-alkylglutamine[c]	m00207c
[protein]-N6-(dihydrolipoyl)lysine[c]	m00208c
[protein]-N6-(lipoyl)lysine[c]	m00209c
[protein]-N6-(octanoyl)lysine[c]	m00210c
[protein]-N6,N6,N6-trimethyl-L-lysine[c]	m00211c
[protein]-N6,N6,N6-trimethyl-L-lysine[n]	m00211n
[protein]-N6,N6,N6-trimethyl-L-lysine[r]	m00211r
[protein]-N6,N6-dimethyl-L-lysine[c]	m00212c
[protein]-N6,N6-dimethyl-L-lysine[n]	m00212n
[protein]-N6-methyl-L-lysine[c]	m00213c
[protein]-N-ubiquityllysine[c]	m00214c
[protein]-omega-N-(ADP-D-ribosyl)-L-arginine[c]	m00215c
[protein]-S-methyl-L-cysteine[c]	m00216c
[protein]-tyrosine-O-sulfate[c]	m00217c
[protein]-tyrosine-phosphate[c]	m00218c
[pyruvate dehydrogenase (acetyl transferring)][c]	m00219c
[pyruvate dehydrogenase (acetyl transferring)]-phosphate[c]	m00220c
1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate[c]	m00221c
1-(1-alkenyl)-sn-glycero-3-phosphate[c]	m00222c
1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine[c]	m00223c
1-(1-alkenyl)-sn-glycerol[c]	m00224c
1-(3-pyridinyl)-1,4-butanediol[c]	m00225c
1-(methylnitrosoamino)-4-(3-pyridinyl)-1,4-butanediol[c]	m00226c
1,1-dichloroethylene epoxide[c]	m00227c
1,1-dichloroethylene[c]	m00228c
